Brand,Product Name,Price,Rating,Reviews,Image URL,Product Link
CONVERSE,"17"" Laptop Backpack with Adjustable Straps","₹2,999",,,,https://www.ajio.com/converse-17-laptop-backpack-with-adjustable-straps/p/703581531_beige?
POLICE,Men Patterned Backpack,₹810,,,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260601/9mKE/6a1dcdbd14d0c2171917261f/police_black_men_patterned_backpack.jpg,https://www.ajio.com/police-men-patterned-backpack-/p/703515950_black?
Puma,Elite All-Day Backpack,"₹1,739",4.2,6,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260330/PrrZ/69ca608d5bc52e77e0133d5b/puma_green_elite_all-day_backpack.jpg,https://www.ajio.com/puma-elite-all-day-backpack/p/703242331_green?
Puma,Rolltop Backpack,"₹1,400",4.3,13,,https://www.ajio.com/puma-rolltop-backpack/p/700366002_black?
TOMMY HILFIGER,"15"" Laptop Backpack","₹2,079",,,,https://www.ajio.com/tommy-hilfiger-15-laptop-backpack/p/460612651_lightgrey?
SAFARI,Backpack with Front-Zip Pocket,₹806,3.6,5,,https://www.ajio.com/safari-backpack-with-front-zip-pocket/p/460822682_wine?
Puma,RS Convertible Backpack,"₹2,099",4.5,37,,https://www.ajio.com/puma-rs-convertible-backpack/p/701575684_black?
MOKOBARA,Men Back Pack,"₹8,499",4.6,16,,https://www.ajio.com/mokobara-men-back-pack/p/701153815_black?
FUR JADEN,Men Laptop Backpack with Multiple Compartments,"₹2,199",4.4,17,,https://www.ajio.com/fur-jaden-men-laptop-backpack-with-multiple-compartments/p/702604244_black?
Skybags,Unisex Lumous 17 Inch Laptop Compatible Backpack with Front Pocket - 16L,₹999,4.2,107,,https://www.ajio.com/skybags-unisex-lumous-17-inch-laptop-compatible-backpack-with-front-pocket--16l/p/467105316_blue?
POLICE,Men Patterned Backpack,₹810,,,,https://www.ajio.com/police-men-patterned-backpack-/p/703514457_black?
NIKE,HERITAGE BKPK-HBR CORE SP26 Backpack,"₹1,951",4.2,5,,https://www.ajio.com/nike-heritage-bkpk-hbr-core-sp26-backpack/p/469807533_blue?
Decathlon,Forclaz - Men Travel 100 Abrasion Resistant Trekking Backpack 60L,"₹4,999",,,,https://www.ajio.com/decathlon-forclaz--men-travel-100-abrasion-resistant-trekking-backpack-60l/p/702221799_multi?
MOKOBARA,Men Everyday Backpack with Adjustable Straps,"₹4,999",4.8,26,,https://www.ajio.com/mokobara-men-everyday-backpack-with-adjustable-straps/p/467060651_black?
SAFARI,"Unisex Pluse Plus Brand Print 17"" Laptop Backpack",₹899,4.7,3,,https://www.ajio.com/safari-unisex-pluse-plus-brand-print-17-laptop-backpack/p/4945742450_multi?
FUR JADEN,Men Laptop Backpack with Multiple Compartments,"₹2,199",4.4,17,,https://www.ajio.com/fur-jaden-men-laptop-backpack-with-multiple-compartments/p/702604244_brown?
CAT,Travel Back Pack,"₹3,150",4.8,6,,https://www.ajio.com/cat-travel-back-pack/p/465826049_black?
